id,query,task_type,intent_action,target_section,target_pages,difficulty,trap_type,answerable,generated_answer,required_nuggets,matched_required_nuggets,missing_required_nuggets,required_nugget_recall,optional_nuggets,matched_optional_nuggets,forbidden_claims,hit_forbidden_claims,forbidden_claim_pass,refusal_pass,expected_step_order,step_positions,procedure_order_pass,grounding_pass,expected_image_pages,retrieved_image_pages,forbidden_image_pages,forbidden_image_hit_pages,image_recall,image_precision,forbidden_image_pass,image_order_pass,step_image_binding_pass,step_image_binding_failures,image_pass,image_eval_required,final_pass,latency_ms,error
adv2_011,安装气缸头时M10螺母分三次拧紧的扭矩分别是多少？,procedure,安装,4.7 气缸头/安装气缸头,15,hard,numeric_exactness;procedure_order;multi_value,True,"根据手册第15页“4.7 气缸头”，原文步骤如下：
1. 安装气缸头
1. 安装 新缸体缸头垫片 与 定位销 。
2. 安装 导向条 。
3. 安装气缸头，使用定扭扳手分 三次对角拧紧 M10 螺母（件号 10 ） ：
第一次： 25 N·m
第二次： 45 N·m
第三次： 60 N·m
提示 ：拧紧前需在螺母螺纹处涂抹润滑油。
4. 拧紧 M8×110 螺栓（件号 12 ） ，再拧紧气缸体上的 M6×30 螺栓 。",第一次25 N·m；第二次45 N·m；第三次60 N·m,第一次25 N·m；第二次45 N·m；第三次60 N·m,,1.0,,,第一次60 N·m；一次拧紧到60 N·m；65 N·m,,True,True,第一次：25；第二次：45；第三次：60,73;81;89,True,True,,15,,,0.0,0.0,True,True,True,,True,False,True,8905,
adv2_012,拆卸发动机时锁止螺母的拧紧力矩是多少？,spec,拆卸,3.2 拆卸发动机,8,medium,numeric_exactness;text_displacement,True,"根据手册第6-7页“3.2 拆卸发动机”，原文步骤如下：
1. 排放机油
拆下 发动机左曲轴箱上的放油螺栓 ，将发动机内部机油全部放出。
拆下 车架上的放油螺栓 ，将车架内部机油全部放出。
2. 排放冷却液
拆下 水泵盖上的放水螺栓 ，让冷却液自动流出。
当水流变小时， 打开右水箱盖 ，使发动机内剩余冷却液完全排出。
3. 松开发动机安装螺栓
依次松开以下部件的固定螺栓：
上吊片
托架
后平叉轴
具体操作顺序为：
取下 上吊片固定螺栓 1
取下 托架固定螺栓 1
取下 车架螺栓 2
取下 后平叉轴螺栓 3
4. 拆卸输出链轮组件
用一字螺丝刀将 锁止片 2 敲平 。
松开 锁止螺母 1 并依次取下：
螺母 1
锁止片 2
输出链轮 3
轴套 4",锁止螺母拧紧力矩95±5 N·m；所需工具27#套筒,,锁止螺母拧紧力矩95±5 N·m；所需工具27#套筒,0.0,,,65±5 N·m；27±5 N·m,,True,True,,,True,False,,7,,,0.0,0.0,True,True,True,,True,False,False,6856,
adv2_013,气缸头装配清单里M8×110螺栓的扭矩和M10盖形螺母的扭矩是不是一样？,inventory,清单,4.1 气缸头装配部件清单,9,hard,numeric_exactness;confusion_trap,True,"根据手册第9页“4.1 气缸头装配部件清单”，与问题匹配的清单条目如下：
10. M10×1.25 盖形法兰面螺母（12级/氧化黑）；数量：4；备注：14# 套筒及扭力扳手 / 60 ± 5 N·m；扭矩：60±5 N·m
12. M8×110 六角法兰面 9.8 级螺栓（环保彩锌）；数量：2；备注：10# T 杆或套筒 / 20 ± 2 N·m；扭矩：20±2 N·m",M8×110螺栓扭矩20±2 N·m；M10×1.25盖形螺母扭矩60±5 N·m,M8×110螺栓扭矩20±2 N·m；M10×1.25盖形螺母扭矩60±5 N·m,,1.0,两者不一样,,两者都是60±5 N·m；M8×110螺栓60±5 N·m,,True,True,,,True,True,,9,,,0.0,0.0,True,True,True,,True,False,True,9231,
adv2_014,更换活塞时新活塞的具体尺寸公差是多少毫米？,no_answer,查询,5.4 安装气缸与活塞,20,hard,no_answer;unsupported_spec_claim,False,根据手册第19-21页“5.4 安装气缸与活塞”，当前可检索到相关装配/检查内容，但手册未提供公差。请以原厂手册、配件清单或实物标识为准。,,,,0.0,,,公差为；尺寸为；0.01mm；新活塞尺寸,,True,True,,,True,True,,19;20;21,,,0.0,0.0,True,True,True,,True,False,True,11039,
adv2_015,磁电机转子离合器拉玛拉出时的具体拉力值是多少牛顿？,no_answer,查询,7.3 磁电机转子离合器分部件,31,hard,no_answer;unsupported_numeric_claim,False,"根据手册第31-32页“7.3 磁电机转子离合器分部件”，原文相关内容如下：
1. 拆下减速齿轮。
2. 拆下左曲轴箱盖。
3. 26.2×38×1 止推垫圈 7
30×42×1.4 止推垫圈 11
3. 拆下 M12×1.25×50 六角法兰面螺栓（ 4 ） ，用拉玛将磁电机转子离合器拉出，依次取下：
磁电机转子 6
止推垫圈 7
电起动大齿 8
半圆键 9
滚针轴承 10
4. 拆下电起动过桥齿轮。
注意 ：电起动过桥齿轮上下各有一个垫圈 12 。
检查磁电机转子离合器单向器
6. 注意 ：电起动过桥齿轮上下各有一个垫圈 12 。
1. 将起动大齿 “1” 安装到磁电机转子离合器 “2” 上，并固定住磁电机转子离合器。
2. 顺时针 A 转动起动大齿 ：
磁电机转子离合器与起动大齿应 无相对滑动 ；
否则需更换起动大齿和磁电机转子离合器分部件。
3. 逆时针 B 转动起动大齿 ：
应能 自由转动 ；
否则磁电机转子离合器有故障，必须更换。
安装磁电机转子离合器分部件
1. 按爆炸图所示，依次安装以下部件：
30×42×1.4 止推垫圈
11. 26.2×38×1 止推垫圈
滚针轴承
半圆键
电起动大齿
12. 26.2×38×1 止推垫圈
磁电机转子离合器",,,,0.0,,,拉力值；N的拉力；拉力为,,True,False,,,True,False,,31,,,0.0,0.0,True,True,True,,True,False,False,11497,
adv2_016,拆卸凸轮轴前对齐正时标记，只要这一步对应的图,procedure,拆卸,4.3 凸轮轴/拆卸凸轮轴,11,hard,adjacent_page_image;section_boundary,True,"根据手册第11-12页“4.2 气缸头气门部装配部件清单”，原文步骤如下：
1. 提示 ：
拆卸气门时， 4 组气门必须分别标记 ，确保能装回原位置，避免混装影响配气相位与密封性能。
气门弹簧为双弹簧结构（内 + 外），装配时注意方向与顺序。
拆装气门锁夹时建议使用专用工具，防止弹簧突然弹出造成损伤。
4.3 凸轮轴
拆卸凸轮轴
1. 拆卸气缸头盖及相关密封件
拆下气缸头盖。
依次拆下：
M30×1.5 铝螺塞
M14×1.5 螺塞
3. 27.4×2.65 丙烯酸酯胶 O 型圈
13×2.8 丙烯酸酯胶 O 型圈
注意 ：气缸头盖螺栓必须 对角均匀拧松 ，防止变形。
2. 对齐正时标记
逆时针转动曲轴，使磁电机转子上 “T” 标记 前的刻线 与 M14×1.5 螺塞孔缺口的中线对齐。
此时，进、排气凸轮轴正时链轮上的刻线应与 气缸头装配面平齐 。
3. 拆卸涨紧器
参见 “ 安装涨紧器 ” 反向操作（详见下文）。
4. 拆卸凸轮轴座盖与凸轮轴
对角均匀拧松凸轮轴座盖螺栓。
取下凸轮轴座盖及凸轮轴。
7. a. 座盖定位销必须放回气缸头对应孔位，不得错放。
b. 先取下进气凸轮轴，再取下排气凸轮轴 。
检查凸轮轴
分别检查进气与排气凸轮轴的：
轴颈
凸轮基圆表面
若存在 磨损、腐蚀或划伤 ，应更换相应凸轮轴。
安装凸轮轴
1. 正时对齐
拉紧正时链条。
逆时针转动曲轴至压缩上止点，使磁电机转子上 “T” 标记前的刻线与左曲轴箱盖上 M14×1.5 螺塞孔标记槽中线对齐。
3. 标记说明
“IN” ：进气
“EX” ：排气
“L” ：左侧
“M” ：中间",T标记前的刻线与M14×1.5螺塞孔缺口的中线对齐,T标记前的刻线与M14×1.5螺塞孔缺口的中线对齐,,1.0,,,顺时针转动曲轴对齐,,True,True,,,True,True,11,11,12;10,,1.0,1.0,True,True,True,,True,True,True,4758,
adv2_017,安装右盖时检查曲轴油封的注意事项，对应图片只要安装右盖那一页的,procedure,安装,6.4 右曲轴箱盖与离合器/安装右盖,26,hard,adjacent_page_image;cross_page,True,"根据手册第39-40页“9.3 检查曲轴与平衡轴”，原文步骤如下：
1. 曲轴轴向跳动： ≤ 0.03mm 。
2. 表格：第39页表格
检查项目 | 技术要求
1.曲轴轴向跳动 | ≤ 0.03 mm
2.连杆大头轴向间隙 | 0.15 – 0.35 mm
3.曲柄销与轴瓦径向间隙 | 0.03 – 0.056 mm
4.平衡轴表面状态 | 无刮痕、无磨损
2. 连杆大头轴向间隙： 0.15-0.35mm ，用塞尺测量。
3. 曲柄销与轴瓦径向间隙： 0.03-0.056mm 。
4. 平衡轴若有刮痕、磨损 → 更换平衡轴 。
安装曲轴与平衡轴",检查曲轴油封若损坏或内环硬化则更换；拆出的油封不能再次使用,,检查曲轴油封若损坏或内环硬化则更换；拆出的油封不能再次使用,0.0,,,油封可以再次使用,,True,True,,,True,False,26,40,27;25,,0.0,0.0,True,False,True,,False,True,False,11183,
adv2_018,安装气缸头盖的密封处理在哪一步、拧紧在哪一步？完整说一下,procedure,安装,4.5 气缸头盖/安装气缸头盖,13;14,hard,cross_page;procedure_order,True,"根据手册第14页“4.5 气缸头盖”，原文步骤如下：
1. 安装气缸头盖。
对角均匀拧紧至规定扭矩 （参考气缸头部件清单）。",在气缸头密封帽周围均匀涂抹耐热平面密封硅胶；在气缸头装配平面和新气缸头盖垫片两面均涂抹耐热平面密封硅胶；安装气缸头盖后对角均匀拧紧至规定扭矩,安装气缸头盖后对角均匀拧紧至规定扭矩,在气缸头密封帽周围均匀涂抹耐热平面密封硅胶；在气缸头装配平面和新气缸头盖垫片两面均涂抹耐热平面密封硅胶,0.333333,,,只涂垫片一面；先拧紧再涂胶,,True,True,密封帽周围均匀涂抹；对角均匀拧紧至规定扭矩,,False,False,,14,,,0.0,0.0,True,True,True,,True,False,False,9465,
adv2_019,安装曲轴与平衡轴时A/B标记和C/D标记分别在哪一步对齐？别搞混,procedure,安装,9.4 安装曲轴与平衡轴,40;41,hard,cross_page;confusion_trap;directionality,True,"根据手册第40-41页“9.4 安装曲轴与平衡轴”，原文步骤如下：
1. 将 左曲轴箱体水平放置 （合箱面朝上）。
2. 在 曲轴轴承 与 平衡轴轴承 上 喷涂适量机油 。
3. 装配对正要求 ：
平衡轴齿轮上的标记（图示 “B” ）与 曲轴齿轮上的标记（图示 “A” ） 必须对正角相 。
4. 安装完成后，将曲轴旋转至上止点位置：
曲柄上的标记（图示 “C” ） 应与 平衡轴配重块上的标记（图示 “D” ） 对齐 。
5. 转动曲轴，检查：
曲轴转动是否灵活；
曲轴与平衡轴是否有干涉。
→
若有干涉或转动不灵活 重新对标记，重新安装 。",平衡轴齿轮B标记与曲轴齿轮A标记必须对正角相；曲轴旋转至上止点后曲柄C标记与平衡轴配重块D标记对齐,平衡轴齿轮B标记与曲轴齿轮A标记必须对正角相；曲轴旋转至上止点后曲柄C标记与平衡轴配重块D标记对齐,,1.0,,,A标记与D标记对齐；C标记与B标记对齐；A/B与C/D在同一步,,True,True,b标记与a标记必须对正角相；c标记应与d标记对齐,76;120,True,True,,41,,,0.0,0.0,True,True,True,,True,False,True,10555,
adv2_020,安装活塞销挡圈时开口要错开多少度？对准还是错开槽缺口？,procedure,安装,（4）安装活塞销挡圈,21,hard,numeric_exactness;directionality,True,"根据手册第21页“5.4 安装气缸与活塞”，原文步骤如下：
1. （ 4 ）安装活塞销挡圈
1. 将活塞销挡圈装入对应挡圈槽内；
2. 将其开口处转动至与槽缺口 相错开 120° ～ 180° 的位置。
a. 检查挡圈是否变形、失去弹力，如有则必须更换；
b. 防止挡圈掉入箱体内部；
c. 挡圈必须完全装配到槽内；
d. 两侧挡圈安装完毕后，活塞销应有轴向间隙。",开口处转动至与槽缺口相错开120°～180°的位置,开口处转动至与槽缺口相错开120°～180°的位置,,1.0,,,开口对准槽缺口；错开90°；错开45°,,True,True,,,True,True,,21,,,0.0,0.0,True,True,True,,True,False,True,5994,
adv2_021,安装离合器时防松垫圈15的有字一面朝里还是朝外？,procedure,安装,安装离合器,27,hard,directionality;confusion_trap,True,"根据手册第27页“6.4 右曲轴箱盖与离合器”，原文步骤如下：
1. 安装离合器
1. 检查离合器各部件磨损情况：
磨损严重者需更换缺陷部件；
检查离合器摩擦片，如发黑严重，则需更换一套新摩擦片；
检查 125×1.5 离合器从动片是否平整，若不平整则须更换。
2. 依次放入以下部件：
离合器衬套止推垫 27
离合器衬套 26
滚针轴承 25
离合器主动盘分组件 24
止推垫圈 23
离合器压盘 22
摩擦片组件（包括摩擦片和从动片）
4. 96.5×107×2.2×1 防松垫圈 18
离合器从动盘 17
止推垫圈 16
防松垫圈 15 （有字一面朝外）
离合器螺母 14
固定离合器，锁紧离合器螺母并用扭力扳手校验扭力。
用橡胶锤与一字螺丝刀敲击离合器螺母顶端，至顶端凹陷，嵌入主轴上的锁止槽。
注意 ：安装摩擦片时，摩擦片与从动片两两相隔，其中大孔摩擦片靠近从动盘侧。
5. 注意 ：安装摩擦片时，摩擦片与从动片两两相隔，其中大孔摩擦片靠近从动盘侧。",防松垫圈15有字一面朝外,防松垫圈15有字一面朝外,,1.0,,,有字一面朝内；朝里,,True,True,,,True,True,,27,,,0.0,0.0,True,True,True,,True,False,True,6293,
adv2_022,活塞和气缸分成几组？可以A组活塞装B组气缸吗？,procedure,安装,5.4 安装气缸与活塞/注意事项,20,medium,safety_constraint;directionality,True,"根据手册第17页“5.1 气缸活塞装配部件清单”，原文步骤如下：
1. 表格：第17-18页表格
序号 | 零件名称 | 数量 | 备注
1 | 气缸体分部件 | 1
2 | 箱体缸体垫片 | 1
3 | 活塞销挡圈 | 2 | 挡圈必须完全装配到槽内
4 | 活塞销 | 1
5 | 活塞 | 1
6 | φ8×14 空心定位销 | 1
6 | 定位销 12×20 | 1 | 此定位销不拆
7 | 连杆 | 1
2. 表格：第17-18页表格
序号=1；零件名称=气缸体分部件；数量=1
3. 表格：第17-18页表格
序号=2；零件名称=箱体缸体垫片；数量=1
4. 表格：第17-18页表格
序号=3；零件名称=活塞销挡圈；数量=2；备注=挡圈必须完全装配到槽内
5. 表格：第17-18页表格
序号=4；零件名称=活塞销；数量=1
6. 表格：第17-18页表格
序号=5；零件名称=活塞；数量=1
7. 表格：第17-18页表格
序号=6；零件名称=φ8×14 空心定位销；数量=1
8. 表格：第17-18页表格
序号=6；零件名称=定位销 12×20；数量=1；备注=此定位销不拆
9. 表格：第17-18页表格
序号=7；零件名称=连杆；数量=1",活塞与气缸均分为A、B、C、D四组；必须使用相同组别的活塞与气缸；不可A组活塞装B组气缸,,活塞与气缸均分为A、B、C、D四组；必须使用相同组别的活塞与气缸；不可A组活塞装B组气缸,0.0,,,可以混用组别；A组活塞可以装B组气缸,,True,True,,,True,False,,17,,,0.0,0.0,True,True,True,,True,False,False,12860,
adv2_023,调整气门间隙时滑动挺柱和调整垫片可以互相调换使用吗？,procedure,调整,4.6 气门间隙/调整气门间隙,15,hard,safety_constraint;opposite_action,True,"根据手册第15页“4.6 气门间隙”，原文步骤如下：
1. 表格：第15页表格
气门类型 | 标准间隙范围
进气门 | 0.13～0.20 mm
排气门 | 0.20～0.30 mm
2. 表格：第15页表格
气门类型=进气门；标准间隙范围=0.13～0.20 mm
3. 表格：第15页表格
气门类型=排气门；标准间隙范围=0.20～0.30 mm
4. 注意 ：必须测量基圆位置，非凸轮升程段。
气门间隙标准值
调整气门间隙
2. 取下滑动挺柱与气门间隙调整垫片。
3. 根据实测间隙与标准值的偏差， 更换对应厚度的调整垫片 （垫片上数字即为厚度值，单位 mm ）。
注意 ：滑动挺柱、调整垫片与气门为 一对一匹配 ，严禁混用。
7. 注意 ：滑动挺柱、调整垫片与气门为 一对一匹配 ，严禁混用。",滑动挺柱、调整垫片与气门为一对一匹配；严禁混用,滑动挺柱、调整垫片与气门为一对一匹配；严禁混用,,1.0,,,可以混用；可以互换,,True,True,,,True,True,,15,,,0.0,0.0,True,True,True,,True,False,True,10475,
adv2_024,这款发动机的火花塞型号是什么牌子？,no_answer,查询,一、火花塞,3,medium,no_answer;unsupported_spec_claim,False,"知识库中未找到关于该发动机火花塞具体型号及品牌的明确信息。检索结果仅包含以下通用技术参数：

1. 火花塞间隙标准值：0.7 ～ 0.9 mm  
2. 安装扭矩要求：20 ± 2 N·m  
3. 检查要点：螺纹完整性、中心电极是否变形或损坏  

但手册中未列明适配的火花塞型号（如NGK CR7HSA、DENSO U24ESR-U等）及对应品牌。

建议您：
1. 查看原车火花塞本体——通常在陶瓷绝缘体或金属壳体上直接印有型号（如“CR8E”“W20EP-1”等）；
2. 核对发动机铭牌或车辆用户手册中的“点火系统”章节；
3. 若为售后更换，可提供发动机型号（如GY6-150、Honda GX270等），我可进一步检索匹配型号。

请补充发动机具体型号或上传火花塞实物照片，以便精准识别。",,,,0.0,,,型号为；品牌；NGK；火花塞型号,NGK；火花塞型号,False,True,,,True,False,,3,,,0.0,0.0,True,True,True,,True,False,False,11055,
