id,question,question_type,difficulty,answerable,golden_answer,required_facts,optional_facts,golden_chunk_ids,retrieved_chunk_ids,retrieval_hit_top5,retrieval_rank,generated_answer,matched_required_facts,missing_required_facts,matched_optional_facts,missing_optional_facts,answer_score,answer_pass,grounded_pass,hallucination,failure_type,judge_reason,score_source,latency_ms,retrieval_ms,llm_ms,tools_used,error,top_k
case_011,拆卸发动机时机油从哪些位置排放？,procedure,easy,True,需要拆下发动机左曲轴箱上的放油螺栓和车架上的放油螺栓，将机油排出。,左曲轴箱上的放油螺栓;车架上的放油螺栓,,eee9bf78:05:txt:0000,eee9bf78:05:txt:0000;eee9bf78:05:txt:0001;eee9bf78:05:txt:0002;eee9bf78:06:txt:0002;eee9bf78:06:txt:0001;eee9bf78:05:txt:0003;eee9bf78:05:srw:0000;eee9bf78:05:srw:0001;eee9bf78:05:srw:0003;eee9bf78:06:tbl:0004;eee9bf78:06:tbl:0005,True,1,"前置条件：  
无明确前置条件说明。  

操作步骤：  
拆下发动机左曲轴箱上的放油螺栓，将发动机内部机油全部放出。  
拆下车架上的放油螺栓，将车架内部机油全部放出。  

安全注意：  
资料中未找到明确依据。",左曲轴箱上的放油螺栓;车架上的放油螺栓,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1555,28,1526,knowledge_retrieval,,5
case_012,拆卸发动机时如何排放冷却液？,procedure,easy,True,拆下水泵盖上的放水螺栓让冷却液流出，水流变小时打开右水箱盖排出剩余冷却液。,拆下水泵盖上的放水螺栓让冷却液流出;水流变小时打开右水箱盖排出剩余冷却液。,,eee9bf78:05:txt:0001,eee9bf78:05:txt:0001;eee9bf78:05:txt:0000;eee9bf78:05:txt:0002;eee9bf78:05:txt:0003;eee9bf78:05:img:0002;eee9bf78:05:tbl:0000;eee9bf78:05:img:0001;eee9bf78:05:img:0003;eee9bf78:05:srw:0000;eee9bf78:05:srw:0001;eee9bf78:05:srw:0003,True,1,"前置条件：  
无明确前置条件说明。  

操作步骤：  
1. 拆下水泵盖上的放水螺栓，让冷却液自动流出。  
2. 当水流变小时，打开右水箱盖，使发动机内剩余冷却液完全排出。  

安全注意：  
资料中未找到明确依据。",拆下水泵盖上的放水螺栓让冷却液流出;水流变小时打开右水箱盖排出剩余冷却液。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1776,29,1747,knowledge_retrieval,,5
case_013,安装发动机时放油螺栓和放水螺栓的扭矩是多少？,torque,easy,True,放油螺栓拧紧力矩为 25±4 N·m，放水螺栓拧紧力矩为 12±1.5 N·m。,放油螺栓拧紧力矩为 25±4 N·m;放水螺栓拧紧力矩为 12±1.5 N·m。,,eee9bf78:06:txt:0001,eee9bf78:06:txt:0001;eee9bf78:06:txt:0000;eee9bf78:06:tbl:0012;eee9bf78:06:txt:0002;eee9bf78:06:img:0000;eee9bf78:06:tbl:0000;eee9bf78:06:tbl:0011;eee9bf78:06:tbl:0013;eee9bf78:06:tbl:0004;eee9bf78:06:tbl:0005;eee9bf78:06:tbl:0007,True,1,"拧紧对象：放油螺栓、放水螺栓  
扭矩值：放油螺栓：25 ± 4 N·m；放水螺栓：12 ± 1.5 N·m  
是否分次：资料中未找到明确依据  
顺序或注意事项：资料中未找到明确依据",放油螺栓拧紧力矩为 25±4 N·m;放水螺栓拧紧力矩为 12±1.5 N·m。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1475,35,1439,knowledge_retrieval,,5
case_014,发动机加注机油量是多少？,spec,easy,True,未更换机油精滤芯时加入 1600 mL，已更换机油精滤芯时加入 1700 mL。,未更换机油精滤芯时加入 1600 mL;已更换机油精滤芯时加入 1700 mL。,,eee9bf78:06:txt:0002,eee9bf78:06:txt:0002;eee9bf78:06:txt:0003;eee9bf78:05:txt:0000;eee9bf78:06:txt:0001;eee9bf78:21:txt:0003;eee9bf78:05:txt:0001;eee9bf78:06:tbl:0004;eee9bf78:06:tbl:0005;eee9bf78:06:tbl:0007;eee9bf78:06:srw:0000;eee9bf78:06:srw:0004,True,1,1600 mL（未更换机油精滤芯）或 1700 mL（已更换机油精滤芯）,未更换机油精滤芯时加入 1600 mL;已更换机油精滤芯时加入 1700 mL。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,880,60,819,knowledge_retrieval,,5
case_015,发动机机油规格要求是什么？,spec,easy,True,机油粘度要求为 SAE 10W-40 或 SAE 10W-50，质量等级为 API SM 级或以上。,机油粘度要求为 SAE 10W-40 或 SAE 10W-50;质量等级为 API SM 级或以上。,,eee9bf78:06:txt:0002,eee9bf78:06:txt:0002;eee9bf78:06:txt:0001;eee9bf78:21:txt:0009;eee9bf78:21:txt:0011;eee9bf78:21:txt:0012;eee9bf78:21:txt:0008;eee9bf78:21:txt:0010;eee9bf78:21:txt:0013;eee9bf78:06:tbl:0004;eee9bf78:06:tbl:0005;eee9bf78:06:tbl:0007,True,1,粘度：SAE 10W-40 或 SAE 10W-50；质量等级：API SM 级或以上。,机油粘度要求为 SAE 10W-40 或 SAE 10W-50;质量等级为 API SM 级或以上。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1090,66,1023,knowledge_retrieval,,5
case_016,加注冷却液后发动机需要运行多久？,procedure,easy,True,右水箱加满冷却液后，启动发动机运行 8 到 10 秒后关机，再补液至满。,8 到 10 秒,补液至满,eee9bf78:06:txt:0003,eee9bf78:06:txt:0003;eee9bf78:06:txt:0002;eee9bf78:05:txt:0001;eee9bf78:06:txt:0000;eee9bf78:06:txt:0001;eee9bf78:05:txt:0000;eee9bf78:05:txt:0002;eee9bf78:06:tbl:0004;eee9bf78:06:tbl:0005;eee9bf78:06:tbl:0007;eee9bf78:06:srw:0000,True,1,"前置条件：  
无明确前置条件说明。  

操作步骤：  
启动发动机运行 8 ～ 10 秒后关机。  
再次向右水箱补液至满。  
向副水箱加注冷却液，使液面位于 F 线与 L 线之间。  

安全注意：  
资料中未找到明确依据。",8 到 10 秒,,补液至满,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1658,56,1602,knowledge_retrieval,,5
case_017,拆卸凸轮轴时如何对齐正时标记？,procedure,medium,True,逆时针转动曲轴，使磁电机转子上 T 标记前的刻线与 M14×1.5 螺塞孔缺口中线对齐，凸轮轴正时链轮刻线应与气缸头装配面平齐。,逆时针转动曲轴;使磁电机转子上 T 标记前的刻线与 M14×1.5 螺塞孔缺口中线对齐;凸轮轴正时链轮刻线应与气缸头装配面平齐。,,eee9bf78:08:txt:0006,eee9bf78:08:txt:0006;eee9bf78:08:img:0000;eee9bf78:08:img:0001;eee9bf78:08:txt:0012;eee9bf78:08:txt:0000;eee9bf78:08:txt:0005;eee9bf78:08:txt:0007;eee9bf78:08:txt:0013;eee9bf78:08:txt:0001;eee9bf78:08:txt:0002;eee9bf78:08:txt:0003,True,1,"前置条件：  
无明确前置条件说明（证据中未提及必须满足的前置状态，如发动机温度、位置等）。  

操作步骤：  
逆时针转动曲轴，使磁电机转子上 “T” 标记前的刻线与 M14×1.5 螺塞孔缺口的中线对齐。  
此时，进、排气凸轮轴正时链轮上的刻线应与气缸头装配面平齐。  

安全注意：  
资料中未找到明确依据。",逆时针转动曲轴;使磁电机转子上 T 标记前的刻线与 M14×1.5 螺塞孔缺口中线对齐;凸轮轴正时链轮刻线应与气缸头装配面平齐。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,2153,35,2117,knowledge_retrieval,,5
case_018,凸轮轴座盖螺栓为什么要对角均匀拧松？,safety,easy,True,气缸头盖螺栓必须对角均匀拧松，以防止变形。,防止变形,对角均匀拧松,eee9bf78:08:txt:0004,eee9bf78:08:txt:0012;eee9bf78:08:txt:0004;eee9bf78:08:img:0000;eee9bf78:08:txt:0002;eee9bf78:08:txt:0001;eee9bf78:08:txt:0011;eee9bf78:08:txt:0013;eee9bf78:08:txt:0003;eee9bf78:08:txt:0005;eee9bf78:08:img:0001;eee9bf78:08:txt:0000,True,2,"注意事项：  
凸轮轴座盖螺栓必须对角均匀拧松。  

原因或风险：  
资料中未找到明确依据说明凸轮轴座盖螺栓对角拧松的具体原因或风险（手册仅在步骤中要求操作，未解释原理；同类表述“气缸头盖螺栓对角拧松”明确注明“防止变形”，但该说明未直接关联至凸轮轴座盖螺栓）。  

正确做法：  
对角均匀拧松凸轮轴座盖螺栓。",防止变形,,对角均匀拧松,,1.0,True,True,False,pass,必答事实全部命中,required_facts,2826,21,2804,knowledge_retrieval,,5
case_019,检查凸轮轴时哪些部位异常需要更换？,inspection,medium,True,检查进气与排气凸轮轴的轴颈和凸轮基圆表面，若存在磨损、腐蚀或划伤，应更换相应凸轮轴。,轴颈;凸轮基圆表面;磨损、腐蚀或划伤;更换相应凸轮轴,,eee9bf78:09:txt:0000,eee9bf78:09:txt:0000;eee9bf78:09:txt:0004;eee9bf78:09:txt:0002;eee9bf78:09:txt:0006;eee9bf78:08:txt:0000;eee9bf78:09:txt:0001;eee9bf78:09:txt:0003;eee9bf78:09:txt:0005;eee9bf78:09:txt:0007;eee9bf78:08:txt:0001;eee9bf78:09:txt:0008,True,1,"检查对象：轴颈、凸轮基圆表面  
正常标准：资料中未找到明确依据  
异常表现：磨损、腐蚀或划伤  
处理方式：更换相应凸轮轴",轴颈;凸轮基圆表面;磨损、腐蚀或划伤;更换相应凸轮轴,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1334,28,1305,knowledge_retrieval,,5
case_020,安装凸轮轴时先装进气还是排气？,procedure,easy,True,安装顺序为先安装排气凸轮轴，再安装进气凸轮轴。,安装顺序为先安装排气凸轮轴;再安装进气凸轮轴。,,eee9bf78:09:txt:0002,eee9bf78:09:txt:0002;eee9bf78:09:txt:0004;eee9bf78:09:txt:0000;eee9bf78:09:txt:0006;eee9bf78:08:txt:0006;eee9bf78:09:txt:0001;eee9bf78:09:txt:0003;eee9bf78:09:txt:0005;eee9bf78:09:txt:0007;eee9bf78:08:txt:0005;eee9bf78:08:txt:0007,True,1,"前置条件：  
无明确前置条件说明。  

操作步骤：  
先安装排气凸轮轴，再安装进气凸轮轴。  

安全注意：  
座盖定位销必须放回气缸头对应孔位，不得错放。",安装顺序为先安装排气凸轮轴;再安装进气凸轮轴。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1247,28,1218,knowledge_retrieval,,5
case_021,涨紧器顶销螺栓应拧紧到多少扭矩？,torque,easy,True,M6×10 顶销螺栓带铜垫片，拧紧至 12 N·m。,12 N·m,M6×10 顶销螺栓;铜垫片,eee9bf78:10:txt:0002;eee9bf78:07:tbl:0000;eee9bf78:07:tbl:0004,eee9bf78:03:tbl:0001;eee9bf78:07:tbl:0002;eee9bf78:07:tbl:0000;eee9bf78:10:txt:0000;eee9bf78:10:txt:0002;eee9bf78:03:tbl:0000;eee9bf78:03:tbl:0002;eee9bf78:07:tbl:0001;eee9bf78:07:tbl:0003;eee9bf78:07:txt:0000;eee9bf78:10:txt:0001,True,3,"拧紧对象：M6×10 顶销螺栓（环保彩锌）  
扭矩值：12 ± 1.5 N·m  
是否分次：资料中未明确说明需分次拧紧  
顺序或注意事项：需带铜垫片；拧紧前应先释放涨紧器自锁、使顶杆自动弹出并顶住涨紧条",12 N·m,,M6×10 顶销螺栓;铜垫片,,1.0,True,True,False,pass,必答事实全部命中,required_facts,2352,76,2275,knowledge_retrieval,,5
case_022,测量气门间隙时塞尺插在哪里？,procedure,easy,True,将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙。,将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙。,,eee9bf78:11:txt:0001,eee9bf78:11:txt:0001;eee9bf78:11:img:0000;eee9bf78:11:img:0001;eee9bf78:11:txt:0000;eee9bf78:12:txt:0002;eee9bf78:12:txt:0001;eee9bf78:12:txt:0003;eee9bf78:11:srw:0000;eee9bf78:11:srw:0001;eee9bf78:12:txt:0000;eee9bf78:12:txt:0004,True,1,"前置条件：  
拆下气缸头盖。  

操作步骤：  
将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙。  

安全注意：  
必须测量基圆位置，非凸轮升程段。",将塞尺插入凸轮轴基圆与滑动挺柱之间测量间隙。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1376,66,1310,knowledge_retrieval,,5
case_023,测量气门间隙时为什么要测基圆位置？,safety,easy,True,必须测量基圆位置，不能测凸轮升程段。,基圆位置;非凸轮升程段,,eee9bf78:12:txt:0001;eee9bf78:12:txt:0021,eee9bf78:11:txt:0001;eee9bf78:12:txt:0020;eee9bf78:12:txt:0010;eee9bf78:12:txt:0016;eee9bf78:12:txt:0008;eee9bf78:11:txt:0000;eee9bf78:11:img:0000;eee9bf78:12:txt:0019;eee9bf78:12:txt:0021;eee9bf78:12:txt:0009;eee9bf78:12:txt:0011,False,9,"注意事项：  
必须在凸轮轴基圆位置测量气门间隙，严禁在凸轮升程段测量。  

原因或风险：  
在凸轮升程段测量会导致气门处于开启状态，塞尺无法准确插入或读数失真，造成气门间隙误判，进而引发气门关闭不严、烧蚀、发动机异响甚至机械损坏等严重故障。  

正确做法：  
将塞尺插入凸轮轴基圆与滑动挺柱之间进行测量（见第14页图示及文字说明）。",基圆位置;非凸轮升程段,,,,1.0,True,False,False,retrieval_miss_answer_correct,必答事实全部命中,required_facts,2969,54,2914,knowledge_retrieval,,5
case_024,气缸头 M10 螺母分几次拧紧？,torque,medium,True,M10 螺母使用定扭扳手分三次对角拧紧，第一次 25 N·m，第二次 45 N·m，第三次 60 N·m。,三次,25 N·m;45 N·m;60 N·m;对角拧紧,eee9bf78:12:txt:0018,eee9bf78:12:txt:0018;eee9bf78:10:img:0000;eee9bf78:07:txt:0000;eee9bf78:12:txt:0020;eee9bf78:12:txt:0014;eee9bf78:12:txt:0017;eee9bf78:12:txt:0019;eee9bf78:10:txt:0005;eee9bf78:10:img:0001;eee9bf78:10:txt:0000;eee9bf78:10:txt:0001,True,1,"拧紧对象：气缸头 M10 螺母  
扭矩值：第一次 25 N·m，第二次 45 N·m，第三次 60 N·m  
是否分次：是，分三次  
顺序或注意事项：对角拧紧；拧紧前需在螺母螺纹处涂抹润滑油",三次,,25 N·m;45 N·m;60 N·m;对角拧紧,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1604,61,1542,knowledge_retrieval,,5
case_025,拆卸气门时四组气门组件要注意什么？,safety,easy,True,4 组气门组件必须分别标记，确保装回原位。,4 组气门组件必须分别标记;确保装回原位。,,eee9bf78:13:txt:0003,eee9bf78:13:img:0000;eee9bf78:13:txt:0003;eee9bf78:13:txt:0000;eee9bf78:13:txt:0002;eee9bf78:13:txt:0001;eee9bf78:13:txt:0005;eee9bf78:13:img:0001;eee9bf78:13:txt:0004;eee9bf78:13:srw:0001;eee9bf78:13:srw:0002;eee9bf78:13:srw:0003,True,2,"注意事项：4组气门组件必须分别标记。  
原因或风险：未标记可能导致气门组件混装，影响气门与座圈、导管的配合精度，造成密封不良、异响或早期磨损。  
正确做法：拆卸时对每组气门（含气门、弹簧座、油封、内外弹簧、弹簧上圈、锁夹等）进行唯一标识，确保安装时原位装回。",4 组气门组件必须分别标记;确保装回原位。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,2166,36,2130,knowledge_retrieval,,5
case_026,气门弹簧安装方向有什么要求？,safety,easy,True,气门弹簧间距较密的一端（标记为 b 和 b′）必须朝下安装。,气门弹簧间距较密的一端（标记为 b 和 b′）必须朝下安装。,,eee9bf78:14:txt:0003,eee9bf78:14:txt:0003;eee9bf78:13:txt:0003;eee9bf78:08:txt:0003;eee9bf78:13:txt:0001;eee9bf78:13:txt:0000;eee9bf78:14:txt:0002;eee9bf78:14:tbl:0000;eee9bf78:13:txt:0002;eee9bf78:13:txt:0004;eee9bf78:08:txt:0002;eee9bf78:08:txt:0004,True,1,"注意事项：气门弹簧间距较密的一端（标记为“b”和“b′”）必须朝下安装。  
原因或风险：方向装反可能导致弹簧受力异常、共振加剧、疲劳断裂，进而引发气门撞击活塞等严重机械故障。  
正确做法：安装时确保气门弹簧密圈端（标有“b”或“b′”）朝向气缸盖下方，即朝向气门弹簧座一侧。",气门弹簧间距较密的一端（标记为 b 和 b′）必须朝下安装。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,2577,64,2512,knowledge_retrieval,,5
case_027,检查气缸与活塞时发现明显刮痕怎么办？,inspection,easy,True,检查气缸内壁与活塞裙部，若有明显刮痕或损伤且手触明显粗糙，必须更换有缺陷的部件。,更换有缺陷的部件,明显刮痕;手触明显粗糙,eee9bf78:15:txt:0010,eee9bf78:15:txt:0010;eee9bf78:15:txt:0008;eee9bf78:15:txt:0012;eee9bf78:15:txt:0000;eee9bf78:15:txt:0002;eee9bf78:15:txt:0009;eee9bf78:15:txt:0011;eee9bf78:15:txt:0007;eee9bf78:15:tbl:0000;eee9bf78:15:txt:0001;eee9bf78:15:txt:0005,True,1,"检查对象：气缸内壁与活塞裙部  
正常标准：表面光滑，无刮痕或损伤（用手触摸无明显粗糙感）  
异常表现：有明显刮痕或损伤（用手触摸明显粗糙）  
处理方式：必须更换有缺陷的部件",更换有缺陷的部件,,明显刮痕;手触明显粗糙,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1425,60,1364,knowledge_retrieval,,5
case_028,三道活塞环被卡住时怎么处理？,inspection,easy,True,如果三道活塞环被卡住，应更换活塞及活塞环。,如果三道活塞环被卡住;应更换活塞及活塞环。,,eee9bf78:15:txt:0012,eee9bf78:15:txt:0012;eee9bf78:17:txt:0007;eee9bf78:17:txt:0013;eee9bf78:17:txt:0015;eee9bf78:17:txt:0002;eee9bf78:15:txt:0011;eee9bf78:15:tbl:0000;eee9bf78:17:txt:0006;eee9bf78:17:txt:0012;eee9bf78:17:txt:0014;eee9bf78:15:txt:0001,True,1,"检查对象：三道活塞环  
正常标准：资料中未找到明确依据  
异常表现：被卡住  
处理方式：更换活塞及活塞环",如果三道活塞环被卡住;应更换活塞及活塞环。,,,,1.0,True,True,False,pass,必答事实全部命中,required_facts,1300,25,1274,knowledge_retrieval,,5
